Episode 2340 	 Avg length: 80 	 Avg reward: 75
Episode 2360 	 Avg length: 72 	 Avg reward: 76
Episode 2380 	 Avg length: 82 	 Avg reward: 77
Episode 2400 	 Avg length: 69 	 Avg reward: 73
Episode 2420 	 Avg length: 78 	 Avg reward: 81
Episode 2440 	 Avg length: 70 	 Avg reward: 72
Episode 2460 	 Avg length: 79 	 Avg reward: 82
Episode 2480 	 Avg length: 77 	 Avg reward: 75
Episode 2500 	 Avg length: 75 	 Avg reward: 77
Episode 2520 	 Avg length: 81 	 Avg reward: 84
Episode 2540 	 Avg length: 70 	 Avg reward: 73
Episode 2560 	 Avg length: 84 	 Avg reward: 88
Episode 2580 	 Avg length: 81 	 Avg reward: 85
Episode 2600 	 Avg length: 89 	 Avg reward: 85
Episode 2620 	 Avg length: 83 	 Avg reward: 83
Episode 2640 	 Avg length: 73 	 Avg reward: 77
Episode 2660 	 Avg length: 92 	 Avg reward: 88
Episode 2680 	 Avg length: 87 	 Avg reward: 86
Episode 2700 	 Avg length: 75 	 Avg reward: 79
Episode 2720 	 Avg length: 76 	 Avg reward: 77
Episode 2740 	 Avg length: 86 	 Avg reward: 86
Episode 2760 	 Avg length: 83 	 Avg reward: 81
Episode 2780 	 Avg length: 76 	 Avg reward: 74
Episode 2800 	 Avg length: 90 	 Avg reward: 87
Episode 2820 	 Avg length: 80 	 Avg reward: 87
Episode 2840 	 Avg length: 93 	 Avg reward: 83
Episode 2860 	 Avg length: 82 	 Avg reward: 83
Episode 2880 	 Avg length: 81 	 Avg reward: 88
Episode 2900 	 Avg length: 80 	 Avg reward: 81
Episode 2920 	 Avg length: 80 	 Avg reward: 80
Episode 2940 	 Avg length: 69 	 Avg reward: 74
Episode 2960 	 Avg length: 74 	 Avg reward: 78
Episode 2980 	 Avg length: 84 	 Avg reward: 86
Episode 3000 	 Avg length: 74 	 Avg reward: 81
Episode 3020 	 Avg length: 84 	 Avg reward: 87
Episode 3040 	 Avg length: 84 	 Avg reward: 87
Episode 3060 	 Avg length: 75 	 Avg reward: 73
Episode 3080 	 Avg length: 73 	 Avg reward: 81
Episode 3100 	 Avg length: 87 	 Avg reward: 88
Episode 3120 	 Avg length: 75 	 Avg reward: 78
Episode 3140 	 Avg length: 81 	 Avg reward: 88
Episode 3160 	 Avg length: 74 	 Avg reward: 77
Episode 3180 	 Avg length: 83 	 Avg reward: 86
Episode 3200 	 Avg length: 74 	 Avg reward: 85
Episode 3220 	 Avg length: 73 	 Avg reward: 84
Episode 3240 	 Avg length: 82 	 Avg reward: 88
Episode 3260 	 Avg length: 68 	 Avg reward: 78
Episode 3280 	 Avg length: 71 	 Avg reward: 83
Episode 3300 	 Avg length: 83 	 Avg reward: 86
Episode 3320 	 Avg length: 84 	 Avg reward: 87
Episode 3340 	 Avg length: 74 	 Avg reward: 76
Episode 3360 	 Avg length: 69 	 Avg reward: 76
Episode 3380 	 Avg length: 81 	 Avg reward: 74
Episode 3400 	 Avg length: 83 	 Avg reward: 88
Episode 3420 	 Avg length: 86 	 Avg reward: 88
Episode 3440 	 Avg length: 83 	 Avg reward: 86
Episode 3460 	 Avg length: 73 	 Avg reward: 85
Episode 3480 	 Avg length: 76 	 Avg reward: 81
Episode 3500 	 Avg length: 76 	 Avg reward: 86
Episode 3520 	 Avg length: 75 	 Avg reward: 86
Episode 3540 	 Avg length: 80 	 Avg reward: 83
Episode 3560 	 Avg length: 75 	 Avg reward: 86
Episode 3580 	 Avg length: 82 	 Avg reward: 84
Episode 3600 	 Avg length: 87 	 Avg reward: 91
Episode 3620 	 Avg length: 78 	 Avg reward: 81
Episode 3640 	 Avg length: 96 	 Avg reward: 102
Episode 3660 	 Avg length: 82 	 Avg reward: 91
Episode 3680 	 Avg length: 82 	 Avg reward: 89
Episode 3700 	 Avg length: 98 	 Avg reward: 99
Episode 3720 	 Avg length: 83 	 Avg reward: 89
Episode 3740 	 Avg length: 81 	 Avg reward: 86
Episode 3760 	 Avg length: 91 	 Avg reward: 88
Episode 3780 	 Avg length: 86 	 Avg reward: 87
Episode 3800 	 Avg length: 90 	 Avg reward: 90
Episode 3820 	 Avg length: 113 	 Avg reward: 115
Episode 3840 	 Avg length: 105 	 Avg reward: 106
Episode 3860 	 Avg length: 104 	 Avg reward: 104
Episode 3880 	 Avg length: 98 	 Avg reward: 102
Episode 3900 	 Avg length: 110 	 Avg reward: 110
Episode 3920 	 Avg length: 110 	 Avg reward: 114
Episode 3940 	 Avg length: 82 	 Avg reward: 89
Episode 3960 	 Avg length: 129 	 Avg reward: 128
Episode 3980 	 Avg length: 140 	 Avg reward: 137
Episode 4000 	 Avg length: 130 	 Avg reward: 126
Episode 4020 	 Avg length: 116 	 Avg reward: 111
Episode 4040 	 Avg length: 143 	 Avg reward: 131
Episode 4060 	 Avg length: 122 	 Avg reward: 117
Episode 4080 	 Avg length: 144 	 Avg reward: 142
Episode 4100 	 Avg length: 196 	 Avg reward: 180
Episode 4120 	 Avg length: 152 	 Avg reward: 149
Episode 4140 	 Avg length: 139 	 Avg reward: 131
Episode 4160 	 Avg length: 210 	 Avg reward: 198
Episode 4180 	 Avg length: 209 	 Avg reward: 200
Episode 4200 	 Avg length: 236 	 Avg reward: 227
Episode 4220 	 Avg length: 260 	 Avg reward: 246
Episode 4240 	 Avg length: 205 	 Avg reward: 190
Episode 4260 	 Avg length: 182 	 Avg reward: 167
Episode 4280 	 Avg length: 204 	 Avg reward: 194
Episode 4300 	 Avg length: 198 	 Avg reward: 188
Episode 4320 	 Avg length: 227 	 Avg reward: 218
Episode 4340 	 Avg length: 219 	 Avg reward: 219
Episode 4360 	 Avg length: 281 	 Avg reward: 285
Episode 4380 	 Avg length: 358 	 Avg reward: 343
Episode 4400 	 Avg length: 339 	 Avg reward: 322
Episode 4420 	 Avg length: 414 	 Avg reward: 419
Episode 4440 	 Avg length: 468 	 Avg reward: 447
Episode 4460 	 Avg length: 327 	 Avg reward: 321
Episode 4480 	 Avg length: 466 	 Avg reward: 475
Episode 4500 	 Avg length: 344 	 Avg reward: 342
Episode 4520 	 Avg length: 324 	 Avg reward: 296
Episode 4540 	 Avg length: 341 	 Avg reward: 344
Episode 4560 	 Avg length: 407 	 Avg reward: 415
Episode 4580 	 Avg length: 378 	 Avg reward: 387
Episode 4600 	 Avg length: 327 	 Avg reward: 329
Episode 4620 	 Avg length: 420 	 Avg reward: 417
Episode 4640 	 Avg length: 538 	 Avg reward: 534
Episode 4660 	 Avg length: 451 	 Avg reward: 441
Episode 4680 	 Avg length: 464 	 Avg reward: 457
Episode 4700 	 Avg length: 497 	 Avg reward: 518
Episode 4720 	 Avg length: 610 	 Avg reward: 639
Episode 4740 	 Avg length: 491 	 Avg reward: 492
Episode 4760 	 Avg length: 481 	 Avg reward: 497
Episode 4780 	 Avg length: 569 	 Avg reward: 582
Episode 4800 	 Avg length: 578 	 Avg reward: 578
Episode 4820 	 Avg length: 501 	 Avg reward: 520
Episode 4840 	 Avg length: 575 	 Avg reward: 601
Episode 4860 	 Avg length: 648 	 Avg reward: 692
Episode 4880 	 Avg length: 474 	 Avg reward: 487
Episode 4900 	 Avg length: 610 	 Avg reward: 625
Episode 4920 	 Avg length: 674 	 Avg reward: 707
Episode 4940 	 Avg length: 805 	 Avg reward: 856
